                         title;              KiB;              MiB;  check;         min (us);         max (us);         med (us);        mean (us);               CV;              MRR;            MiB/s
                      memcpy_C;        24576.000;           24.000;   PASS;         1245.549;         1385.747;         1373.562;         1369.572;            1.706;            0.113;           18.817
                 memcpy_openmp;        24576.000;           24.000;   PASS;         1723.046;         1811.487;         1728.782;         1744.507;            1.687;            0.051;           13.602
                 memcpy_memcpy;        24576.000;           24.000;   PASS;         1268.531;         1286.798;         1278.384;         1277.791;            0.342;            0.014;           18.476
                    memcpy_asm;        24576.000;           24.000;   PASS;         3386.099;         3407.579;         3398.542;         3397.744;            0.169;            0.006;            6.922
                 memcpy_SSE_u1;        24576.000;           24.000;   PASS;         1966.342;         1988.345;         1974.356;         1974.127;            0.193;            0.011;           11.919
                 memcpy_SSE_u2;        24576.000;           24.000;   PASS;         1964.969;         1978.600;         1974.120;         1973.657;            0.130;            0.007;           11.928
                 memcpy_SSE_u4;        24576.000;           24.000;   PASS;         1969.536;         1981.799;         1977.465;         1977.428;            0.149;            0.006;           11.900
                 memcpy_SSE_u8;        24576.000;           24.000;   PASS;         1968.070;         1979.338;         1974.605;         1973.905;            0.151;            0.006;           11.909
              memcpy_SSE_u8_nt;        24576.000;           24.000;   PASS;         1370.295;         1383.452;         1376.154;         1376.079;            0.206;            0.010;           17.104
                 memcpy_AVX_u1;        24576.000;           24.000;   PASS;         1964.059;         1980.971;         1972.269;         1971.898;            0.173;            0.009;           11.933
                 memcpy_AVX_u2;        24576.000;           24.000;   PASS;         1971.364;         2046.674;         1975.657;         1977.919;            0.634;            0.038;           11.889
                 memcpy_AVX_u4;        24576.000;           24.000;   PASS;         1967.495;         1978.119;         1972.470;         1972.141;            0.122;            0.005;           11.912
                 memcpy_AVX_u8;        24576.000;           24.000;   PASS;         1951.738;         1959.782;         1956.560;         1956.127;            0.111;            0.004;           12.009
              memcpy_AVX_u8_nt;        24576.000;           24.000;   PASS;         1378.063;         1391.834;         1383.689;         1384.226;            0.256;            0.010;           17.008
                memcpy_AVX_u16;        24576.000;           24.000;   PASS;         2025.928;         2046.858;         2035.140;         2035.246;            0.262;            0.010;           11.569
             memcpy_AVX_u16_nt;        24576.000;           24.000;   PASS;         1553.659;         1573.233;         1563.630;         1563.833;            0.295;            0.013;           15.085
